language;question;answer
bul_Cyrl;Въпрос: Роджър има 5 тенис топки. Купува още 2 кутии с тенис топки. Всяка кутия има 3 тенис топки. Колко топки за тенис има сега? ;Отговор: Роджър започна с 5 топки. 2 кутии с 3 тенис топки всяка е 6 тенис топки. 5+6=11. Отговорът е 11. 
bul_Cyrl;Въпрос: Имаше девет компютъра в сървърната стая. Всеки ден, от понеделник до четвъртък, се монтираха още пет компютъра. Колко компютъра има в сървърната стая? ;Отговор: От понеделник до четвъртък има 4 дни. Всеки ден се добавяха 5 компютъра. Това означава, че общо 4 * 5 = 20 компютъра са били добавени. В началото имаше 9 компютъра, така че сега има 9 + 20 = 29 компютъра. Отговорът е 29. 
bul_Cyrl;Въпрос: Лия имаше 32 шоколада, а сестра й 42. Ако са изяли 35, колко парчета са им останали? ;Отговор: Лия имаше 32 шоколада, а сестра й 42. Това означава, че първоначално има 32 + 42 = 74 шоколада. 35 са били изядени. Така че в общия брой те все още имат 74 - 35 = 39 шоколада. Отговорът е 39. 
bul_Cyrl;Въпрос: Шон има пет играчки. За Коледа, той получи по две играчки от майка си и баща си. Колко играчки има сега? ;Отговор: Той има 5 играчки. Той получи 2 от мама, така че след това той има 5 + 2 = 7 играчки. След това той получи още 2 от татко, така че общо има 7 + 2 = 9 играчки. Отговорът е 9. 
bul_Cyrl;Въпрос: Майкъл имаше 58 топки за голф. Във вторник е загубил 23 топки за голф. В сряда е загубил още двама. Колко топки за голф имаше в края на сряда? ;Отговор: Майкъл започнал с 58 топки за голф и загубил 23, така че има 58 - 23 = 35. След като загуби още две, сега има 35 - 2 = 33 топки. Отговорът е 33. 
bul_Cyrl;Въпрос: Оливия има 23 долара. Купи пет булета за по 3 долара. Колко пари й останаха? ;Отговор: 5 геврека за 3 долара трябва да струват 5 * 3 = 15 долара. Оливия имаше 23 долара в началото, така че сега й остават 23 - 15 = 8 долара. Отговорът е 8. 
bul_Cyrl;Въпрос: Джейсън имаше 20 леденца. Даде на Дени леденца. Сега Джейсън има 12 леденца. Колко леденца даде Джейсън на Дени? ;Отговор: Джейсън започнал с 20 леденца, но сега имал само 12, така че дал на Дени 20 - 12 = 8 леденца. Отговорът е 8. 
bul_Cyrl;Въпрос: Ако има 3 коли на паркинга и още 2 коли пристигат, колко коли има на паркинга? ;Отговор: В началото има 3 коли, а след това пристигат още 2, така че сега трябва да има 3 + 2 = 5 коли. Отговорът е 5. 
cat_Latn;Pregunta: Roger té 5 boles de tennis. Compra 2 botigues més de boles de tennis. Cada llauna té 3 boles de tennis. Quantes boles de tennis té ara? ;Resposta Pas a Pas: Roger va començar amb 5 boles. 2 llaunes de 3 boles de tennis cadascuna són 6 boles de tennis. 5 + 6 = 11. La resposta és 11. 
cat_Latn;Pregunta: Hi havia nou ordinadors a la sala de servidors. Es van instal·lar cinc ordinadors més cada dia, de dilluns a dijous. Quants ordinadors hi ha ara a la sala de servidors? ;Resposta Pas a Pas: Hi ha 4 dies del dilluns al dijous. Cada dia s'afegiren 5 ordinadors. Això significa que en total s'han afegit 4 * 5 = 20 ordinadors. Al principi hi havia 9 ordinadors, així que ara hi ha 9 + 20 = 29 ordinadors. La resposta és 29. 
