De eenden fan Janet lizze 16 aaien per dei.Se yt elke moarn trije foar moarnsiten en bakkende muffins foar har freonen foar har freonen mei fjouwer.Se ferkeapet de rest op 'e deistich fan' e boeren fan 'e boeren fan $ 2 per frisse eende.Hoefolle yn dollars makket se elke dei op 'e merke fan' e boeren?	18
In kleed nimt 2 bouten fan blauwe glêstried en de helte safolle wite glêstried.Hoefolle bouten yn totaal nimt it?	3
Josh beslút om in hûs te begjinnen.Hy keapet in hûs foar $ 80.000 en set dan yn 8000.000 yn reparaasjes.Dit ferhege de wearde fan it hûs troch 150%.Hoefolle winst hat hy makke?	70000
James beslút 3 kear yn 'e wike 3 sprints te rinnen.Hy rint 60 meter elke sprint.Hoefolle totale meter rint hy in wike?	540
Elke dei fiedt Wendi elk fan har kippen trije bekers mei mingde hoanne-feed, mei siedden, mielwurms en grienten om har sûn te hâlden.Se jout de kippen har feed yn trije aparte mielen.Moarns jout se har keppel kippen 15 kopkes feed.Yn 'e middei jout se har kjassen noch 25 bekers fieding.Hoefolle bekers fieding moat se har kippen jaan yn it lêste miel fan 'e dei as de grutte fan' e flok fan Wendi 20 kippen 20 kippen is?	20
Kylar gie nei de winkel om glêzen te keapjen foar syn nije appartemint.Ien glês kostet $ 5, mar elke twadde glês kostet allinich 60% fan 'e priis.Kylar wol 16-bril keapje.Hoefolle moat hy foar har betelje?	64
Toulouse hat twa kear safolle skiep as Charleston.Charleston hat 4 kear safolle skiep as Seattle.Hoefolle skiep dogge Toulouse, Charleston, en Seattle tegearre hawwe as Seattle 20 skiep hat?	260
Carla downloaden fan in 200 GB-bestân.Normaal kin se 2 GB / minút downloade, mar 40% fan 'e wylde troch de downloaden, finsters, krêften in opnij starte om updates te ynstallearjen, dy't 20 minuten duorret.Dan moat Carla de download fan it begjin opnij starte.Hoe lading nimt it om it bestân te downloaden?	160
John Drives 3 oeren by in snelheid fan 60 mph en draait dan om, om't hy realiseart dat hy wat heul wichtich ferjitten is.Hy besiket yn 4 oeren thús te kommen, mar besteegje de earste 2 oeren yn standstill ferkear.Hy besteget it folgjende heal oere riden op in snelheid fan 30 km / foardat jo de oerbleaune tiid kinne ride fan 'e 4 oeren nei 80 mph.Hoe fier is hy fan hûs oan 'e ein fan dy 4 oeren?	45
De taryf fan Eliza binne per oere foar de earste 40 oeren dy't se wurket elke wike $ 10 is.Se krijt ek in oertiid beteljen fan 1,2 kear har reguliere oere taryf.As Eliza dizze wike foar 45 oeren wurke, hoefolle binne har ynkomsten foar dizze wike?	460
In nij programma hie 60 downloads yn 'e earste moanne.It oantal downloads yn 'e twadde moanne wie trije kear trije kear safolle as de downloads yn' e earste moanne, mar dan fermindere troch 30% yn 'e tredde moanne.Hoefolle downloads hawwe it programma yn totaal yn totaal yn 'e trije moannen?	366
Toula gie nei de bakkerij en kocht ferskate soarten gebak.Se kocht 3 tsiental donuts dy't $ 68 PER Dozen kostje, 2 tsientallen mini-cupcakes dy't $ 80 per tsiental kostje, en 6 tsiental mini cheesecakes foar $ 55 per tsiental.Hoefolle wie de totale kosten?	694
Carlos plantet in citroenbeam.De beam sil $ 90 kostje om te planten.Elk jier sil it 7 citroen groeie, dy't hy kin ferkeapje foar $ 1,5 elk.It kostet $ 3 per jier oan wetter en fiede de beam.Hoefolle jierren sil it nimme foardat hy jild begjint te fertsjinjen op 'e citro-beam?	13
Melanie is in troch-to-doar-ferkeapster.Se ferkocht in tredde fan har fakuümreinigers by it Green House, 2 mear oan it Reade hûs, en de helte fan wat oerbleaun wie by it Oranjehûs.As Melanie 5 fakuümreinigers hat, hoefolle begjint se mei?	18
Yn in dûnsklasse fan 20 studinten, 20% ynskreaun yn hjoeddeiske dûns, 25% fan 'e oerbleaune ynskreaun yn Jazz-dûnsje, en de rest is ynskreaun yn Hip-Hop Dance.Hokker persintaazje fan 'e heule studinten ynskreaun yn Hip-Hop Dance?	60
In keapman wol in kar meitsje fan oankeap tusken 2 oankeapplannen: sieraden wurdich $ 5.000 of elektroanyske gadgets wurdich $ 8.000.Syn finansjele adviseur spekuleart dat de sieradenmerk omheech sil gean 2,5% omheech wylst de elektronyske gadgetsmerk 1,2% sil opstean 1,2% binnen deselde moanne.As de keapman op syk is nei it ein fan dizze moanne maksimalisearje oan it ein fan dizze moanne troch in kar te meitsjen, hoefolle winst soe dit wêze?	125
Twa treinen litte tagelyk san rafael efter.Se begjinne te reizgjen nei it westen, beide reizgje nei 80 milen.De oare deis reizgje se noarden, dekking fan 150 milen.Wat is de ôfstân yn 'e twa dagen bedutsen troch elke trein?	230
