जेनेट के बतख प्रति दिन 16 अंडे देते हैं।वह हर सुबह नाश्ते के लिए तीन खाती है और हर दिन चार के साथ अपने दोस्तों के लिए मफिन को चकमा देती है।वह किसानों के बाजार में प्रतिदिन $ 2 प्रति ताजा बतख अंडे के लिए शेष बेचती है।किसानों के बाजार में वह हर दिन कितना डॉलर में बनाता है?	18
एक बागे नीले फाइबर के 2 बोल्ट और आधा सफेद फाइबर लेता है।कुल मिलाकर कितने बोल्ट लगते हैं?	3
जोश ने एक घर को फ़्लिप करने की कोशिश करने का फैसला किया।वह $ 80,000 के लिए एक घर खरीदता है और फिर मरम्मत में $ 50,000 में डालता है।इससे घर के मूल्य में 150%की वृद्धि हुई।उसने कितना लाभ कमाया?	70000
जेम्स सप्ताह में 3 बार 3 बार चलाने का फैसला करता है।वह प्रत्येक स्प्रिंट को 60 मीटर चलाता है।वह एक सप्ताह में कितने मीटर दौड़ता है?	540
हर दिन, वेंडी अपने प्रत्येक मुर्गियों को तीन कप मिश्रित चिकन फ़ीड को खिलाता है, जिसमें उन्हें स्वस्थ रखने में मदद करने के लिए बीज, भोजन और सब्जियां होती हैं।वह तीन अलग -अलग भोजन में मुर्गियों को अपना फ़ीड देती है।सुबह में, वह अपने मुर्गियों को 15 कप फ़ीड का झुंड देती है।दोपहर में, वह अपने मुर्गियों को एक और 25 कप फ़ीड देती है।अगर उसे वेंडी के झुंड का आकार 20 मुर्गियां हैं, तो उसे दिन के अंतिम भोजन में कितने कप फीड की आवश्यकता है?	20
काइलर अपने नए अपार्टमेंट के लिए चश्मा खरीदने के लिए स्टोर में गए।एक ग्लास की लागत $ 5 है, लेकिन हर दूसरे ग्लास की कीमत केवल 60% कीमत है।काइलर 16 गिलास खरीदना चाहता है।उन्हें उनके लिए कितना भुगतान करने की आवश्यकता है?	64
टूलूज़ में चार्ल्सटन के रूप में दो बार भेड़ें हैं।चार्ल्सटन के पास सिएटल के रूप में 4 गुना अधिक भेड़ें हैं।टूलूज़, चार्ल्सटन और सिएटल में कितनी भेड़ें हैं, अगर सिएटल में 20 भेड़ें हैं?	260
कार्ला 200 जीबी फ़ाइल डाउनलोड कर रही है।आम तौर पर वह 2 जीबी/मिनट डाउनलोड कर सकती है, लेकिन डाउनलोड के माध्यम से 40% रास्ते में, विंडोज अपडेट को इंस्टॉल करने के लिए एक पुनरारंभ करता है, जिसमें 20 मिनट लगते हैं।तब कार्ला को शुरुआत से ही डाउनलोड को फिर से शुरू करना है।फ़ाइल को डाउनलोड करने में कितना लोड होता है?	160
जॉन 60 मील प्रति घंटे की गति से 3 घंटे के लिए ड्राइव करता है और फिर चारों ओर घूमता है क्योंकि उसे पता चलता है कि वह घर पर कुछ बहुत महत्वपूर्ण भूल गया था।वह 4 घंटे में घर जाने की कोशिश करता है लेकिन पहले 2 घंटे स्टैंडस्टिल ट्रैफ़िक में बिताता है।वह अगले आधे घंटे की ड्राइविंग 30mph की गति से खर्च करता है, इससे पहले कि 80 मील प्रति घंटे की रफ्तार से जाने वाले 4 घंटे के शेष समय को चलाने में सक्षम हो।उन 4 घंटों के अंत में वह घर से कितनी दूर है?	45
प्रत्येक सप्ताह वह काम करने वाले पहले 40 घंटों के लिए प्रति घंटे एलिजा की दर $ 10 है।वह अपनी नियमित प्रति घंटा दर 1.2 गुना अधिक समय का भुगतान भी प्राप्त करती है।यदि एलिजा ने इस सप्ताह 45 घंटे काम किया, तो इस सप्ताह के लिए उसकी कमाई कितनी है?	460
