Janet's eenden leggen 16 eieren per dag.Ze eet elke ochtend drie voor het ontbijt en bakt elke dag muffins voor haar vrienden met vier.Ze verkoopt de rest dagelijks op de boerenmarkt voor $ 2 per vers eend ei.Hoeveel in dollars verdient ze elke dag op de boerenmarkt?	18
Een gewaad neemt 2 bouten blauwe vezels en de helft van zoveel witte vezels.Hoeveel bouten zijn er in totaal nodig?	3
Josh besluit om een huis om te draaien.Hij koopt een huis voor $ 80.000 en levert vervolgens $ 50.000 aan reparaties in.Dit verhoogde de waarde van het huis met 150%.Hoeveel winst heeft hij gemaakt?	70000
James besluit 3 keer per week 3 sprints te laten lopen.Hij loopt 60 meter elke sprint.Hoeveel totale meters loopt hij per week?	540
Elke dag voedt Wendi elk van haar kippen drie kopjes gemengde kippenvoer, met zaden, meelwormen en groenten om ze gezond te houden.Ze geeft de kippen hun voer in drie afzonderlijke maaltijden.'S Ochtends geeft ze haar kudde kippen 15 kopjes voer.'S Middags geeft ze haar kippen nog eens 25 kopjes voer.Hoeveel kopjes feed heeft ze nodig om haar kippen te geven in de laatste maaltijd van de dag als de grootte van Wendi's kudde 20 kippen is?	20
Kylar ging naar de winkel om een bril te kopen voor zijn nieuwe appartement.Eén glas kost $ 5, maar elke tweede glas kost slechts 60% van de prijs.Kylar wil 16 glazen kopen.Hoeveel moet hij ervoor betalen?	64
Toulouse heeft twee keer zoveel schapen als Charleston.Charleston heeft 4 keer zoveel schapen als Seattle.Hoeveel schapen hebben Toulouse, Charleston en Seattle samen als Seattle 20 schapen heeft?	260
Carla downloadt een 200 GB -bestand.Normaal gesproken kan ze 2 GB/minuut downloaden, maar 40% van de weg door de download, dwingt Windows een herstart om updates te installeren, die 20 minuten duurt.Dan moet Carla de download vanaf het begin opnieuw opstarten.Hoe laden is het nodig om het bestand te downloaden?	160
John rijdt 3 uur met een snelheid van 60 km / u en draait zich vervolgens om omdat hij zich realiseert dat hij thuis iets heel belangrijks is vergeten.Hij probeert binnen 4 uur thuis te komen, maar besteedt de eerste 2 uur in stilstand.Hij besteedt het volgende half uur rijden met een snelheid van 30 km / u, voordat hij de resterende tijd van de 4 uur op 80 km / u kan besturen.Hoe ver is hij van huis aan het einde van die 4 uur?	45
Eliza's tarief per uur voor de eerste 40 uur dat ze elke week werkt, is $ 10.Ze ontvangt ook een overwerk van 1,2 keer haar reguliere uurtarief.Als Eliza deze week 45 uur werkte, hoeveel is haar inkomsten voor deze week?	460
